gestion,mes,dia,hora,estacion,longitud,latitud,altura,Precipitación,Temperatura,Humedad
2025,1,30,21:45,Salinas (INIAF),-67.669248,-19.650844,3717,0.00,12.90,58.80
2025,1,30,22:0,Salinas (INIAF),-67.669248,-19.650844,3717,0.00,12.30,59.00
2025,1,30,22:15,Salinas (INIAF),-67.669248,-19.650844,3717,0.00,12.00,61.30
2025,1,30,22:30,Salinas (INIAF),-67.669248,-19.650844,3717,0.00,11.60,65.80
2025,1,30,22:45,Salinas (INIAF),-67.669248,-19.650844,3717,0.00,11.00,69.20
2025,1,30,23:0,Salinas (INIAF),-67.669248,-19.650844,3717,0.00,10.10,76.60
2025,1,30,23:15,Salinas (INIAF),-67.669248,-19.650844,3717,0.20,8.90,87.30
2025,1,30,23:30,Salinas (INIAF),-67.669248,-19.650844,3717,1.60,8.30,90.30
2025,1,30,23:45,Salinas (INIAF),-67.669248,-19.650844,3717,1.00,8.30,90.40
2025,1,31,0:0,Salinas (INIAF),-67.669248,-19.650844,3717,0.20,8.40,90.20
2025,1,31,0:15,Salinas (INIAF),-67.669248,-19.650844,3717,0.00,8.40,90.40
2025,1,31,0:30,Salinas (INIAF),-67.669248,-19.650844,3717,0.00,8.40,88.70
2025,1,31,0:45,Salinas (INIAF),-67.669248,-19.650844,3717,0.00,8.60,91.10
2025,1,31,1:0,Salinas (INIAF),-67.669248,-19.650844,3717,0.00,8.40,91.30
2025,1,31,10:0,Salinas (INIAF),-67.669248,-19.650844,3717,0.00,13.30,61.30
2025,1,31,10:15,Salinas (INIAF),-67.669248,-19.650844,3717,0.00,13.70,61.10
2025,1,31,10:30,Salinas (INIAF),-67.669248,-19.650844,3717,0.00,14.20,57.70
2025,1,31,10:45,Salinas (INIAF),-67.669248,-19.650844,3717,0.00,15.10,50.80
2025,1,31,11:0,Salinas (INIAF),-67.669248,-19.650844,3717,0.00,15.10,54.60
